Hours(id=1, DateTime=2024-01-02 00:01:01+00:00)
Hours(id=2, DateTime=2024-01-02 02:01:01+00:00)
Hours(id=3, DateTime=2024-01-02 04:01:01+00:00)
Hours(id=4, DateTime=2024-01-03 00:01:01+00:00)
Hours(id=5, DateTime=2024-01-03 02:01:01+00:00)
Minutes(id=1, DateTime=2024-01-01 12:01:01+00:00)
Minutes(id=2, DateTime=2024-01-01 12:02:01+00:00)
Minutes(id=3, DateTime=2024-01-01 12:03:01+00:00)
Minutes(id=4, DateTime=2024-01-01 13:01:01+00:00)
Minutes(id=5, DateTime=2024-01-01 13:02:01+00:00)
Minutes(id=6, DateTime=2024-01-01 13:03:01+00:00)
Minutes(id=7, DateTime=2024-01-01 14:01:01+00:00)
Minutes(id=8, DateTime=2024-01-01 14:02:01+00:00)
Minutes(id=9, DateTime=2024-01-01 14:03:01+00:00)
Minutes(id=10, DateTime=2024-01-01 15:01:01+00:00)
Seconds(id=1, DateTime=2024-01-01 12:01:01+00:00)
Seconds(id=2, DateTime=2024-01-01 12:01:02+00:00)
Seconds(id=3, DateTime=2024-01-01 12:01:03+00:00)
Seconds(id=4, DateTime=2024-01-01 12:02:01+00:00)
Seconds(id=5, DateTime=2024-01-01 12:02:02+00:00)
Seconds(id=6, DateTime=2024-01-01 12:02:03+00:00)
Seconds(id=7, DateTime=2024-01-01 12:03:01+00:00)
Seconds(id=8, DateTime=2024-01-01 12:03:02+00:00)
Seconds(id=9, DateTime=2024-01-01 12:03:03+00:00)
Seconds(id=10, DateTime=2024-01-01 12:04:01+00:00)
